PR,s exoprtToSd exportToSd,Spello,,angryoctet,2012-02-19 07:29:14,2012-07-17 01:30:05
PR,Issue 17 email pattern,Changed custom email pattern matching regex to android util Patterns EMAIL ADDRESS to accommodate valid email addresses the original pattern did not e g a aaa aa a aaa aaa aaa This commit is to fix issue 17 Also since the file was updated in 2012 I changed the copyright from 2011 to 2012,,cem-,2012-07-13 18:38:54,2012-07-17 01:30:53
PR,Removing deprecated setForeground,Since API version 5 setForeground from Service has been deprecated and replaced with startForeground and stopForeground this commit just reflects that,,moxie0,2012-03-16 05:31:52,2012-07-17 01:32:59
PR,Added Export Directory Option in the Export Menu in TextSecure,,,moxie0,2012-08-21 22:17:39,2012-08-21 22:26:13
PR,Added Export Directory Option in the Export Menu in TextSecure Fixed,Fixed M Issue With Previous Pull,,moxie0,2012-08-21 23:12:38,2012-08-21 23:35:06
PR,Fixing grammar in first sentence of readme,It should be A secure text messaging application instead of An secure text messaging application,,"tecknicaltom,moxie0",2012-08-21 23:46:42,2012-08-21 23:52:01
PR,Update src org thoughtcrime securesms service SmsListener java,I am not sure if this is the correct place in the code but I'm making a wild guess In Norway provides a one time password application that parses a URL received via SMS The SMS starts with Sparebank1 so without some sort of exemption in TextSecure the OTP application will not work when TextSecure is configured for all messages Hope you can incorporate a fix even if my attempt is not to your liking Tor,,"thoughtbox,thoughtbox",2012-08-26 19:25:56,2012-09-19 09:05:13
PR,allow textsecure to be build directly in the AOSP tree,hi this pull request allows TextSecure to be build directly in the Android Open Source Project tree With this TextSecure can be integrated directly into Android ROMs like CyanogenMod This patch localizes all strings and adds an Android mk file for building instructions,,"moxie0,moxie0",2012-07-19 10:02:35,2012-09-21 04:48:05
PR,Clean string extraction,This should address the concerns you had with the previous pull request I have removed all unnecessary R inclusion combined strings that should be together and removed all the Log w d modification to be added again in a later commit There are still some new line breaks in the strings xml file which can cause problem with Arabic Farsi and some other non Roman character sets however I think we can deal with those tweaks once we get those translations underway This first step should allow us to get all EU as well as Chinese Korean Tibetan Hindi etc,,moxie0,2011-12-29 19:45:24,2012-09-21 04:49:47
PR,Notifications do not get removed when a thread marked with unread messages is deleted and a notification is active,Reproduce by getting an SMS then open TextSecure rather than going via the notification Delete the thread with the unread message The notification does not go away,,"thoughtbox,moxie0,thoughtbox",2012-09-20 09:37:21,2012-09-21 05:29:36
PR,Norwegian Bokm l localisation and Sparebank1 OTP patch,Note that I have added a few strings that were not part of the Transifex XML I have included the Sparebank1 OTP patch as part of this pull request,,"thoughtbox,moxie0",2012-09-18 12:42:16,2012-09-21 06:01:14
PR,Update src org thoughtcrime securesms ConversationListFragment java,Fix for removing notification when deleting an unread thread,,thoughtbox,2012-09-21 05:35:03,2012-09-22 03:35:02
PR,Update res xml preferences xml,Added references for localisation,,"thoughtbox,moxie0",2012-09-21 18:14:45,2012-09-22 10:49:59
PR,Update res values strings xml,string tags for preferences xml,,"thoughtbox,moxie0",2012-09-21 18:23:08,2012-09-22 10:50:12
PR,Localisation changes,Hopefully all in order Thanks for the guidance,,"thoughtbox,moxie0,moxie0,moxie0,moxie0,moxie0,thoughtbox,moxie0",2012-09-22 13:41:51,2012-09-22 19:54:29
PR,Localisation changes,You know it is much more fun listening to you in a lecture theatre P Right any nit picks now might have to wait 3 weeks depending on available connectivity Hope I did not screw this one up again Anyway have a great afternoon Must say I did envy the opportunity given to you folks over there the last day or so with all that hardware in the sky All the best Tor,,"thoughtbox,moxie0,thoughtbox",2012-09-22 19:56:50,2012-09-22 20:00:18
PR,Sparebank1 OTP fix,Change TextSecure so as to not intercept OTP messages destined for the Sparebank1 OTP app,,thoughtbox,2012-09-21 06:02:39,2012-09-22 20:08:12
PR,Fix for Sparebank1 OTP application,Now in its own branch Dear deity hope this is correct,,thoughtbox,2012-09-22 20:19:00,2012-09-22 22:15:59
PR,Missing localisation strings,Sorry These were not in the last localisation commit,,"thoughtbox,thoughtbox,moxie0",2012-09-22 21:35:18,2012-09-23 18:19:41
PR,Resend Message option,Patch for resending a message e g if a message somehow failed to be sent or if you wanted to send an updated version of the message,,"thoughtbox,moxie0,thoughtbox,moxie0,thoughtbox,thoughtbox,moxie0,thoughtbox",2012-10-01 20:13:16,2012-10-11 23:33:48
PR,Localisation patch,Allow for localisation of the forward message prefix preamble FWD in English VS in Norwegian for example,,thoughtbox,2012-10-12 10:03:22,2012-10-13 02:22:37
PR,Fix reference to forward prefix,Code was erroneously referencing the string ID rather than the contents of the string sorry forwarded messages would have e g 15672355 blah rather than FWD blah in them,,thoughtbox,2012-11-05 17:46:27,2012-11-06 06:17:54
PR,Option to intercept flash Type 0 SMS messages,The remote access solution we use sends OTP via type 0 messages having this option means that we can view these one time passwords without having to fiddle with TextSecure,,"thoughtbox,moxie0,thoughtbox,thoughtbox,moxie0,thoughtbox,moxie0,moxie0,thoughtbox,thoughtbox,moxie0,thoughtbox,moxie0,thoughtbox",2012-11-07 13:02:46,2012-11-21 15:38:36
PR,Change default behaviour for flash messages,CLASS0 messages are now passed on to the default Android messaging application in line with standard behaviour for such messages,,"thoughtbox,thoughtbox,moxie0",2012-11-21 15:42:24,2012-11-23 08:48:37
PR,Change behaviour when receiving CLASS0 messages,Pass flash messages to the built in Android messenger application,,"thoughtbox,moxie0",2012-11-23 08:51:50,2012-11-24 08:40:25
PR,Changes the default behaviour when receiving flash messages,Instead of intercepting them passes them on to the default Android application,,"thoughtbox,thoughtbox",2012-11-24 08:44:42,2012-11-24 13:25:20
PR,Changes default behaviour for CLASS 0 messages,Adjust TS so that flash messages are no longer intercepted Sorry for the multiple pulls previous request had a cut paste typo return value was wrong,,thoughtbox,2012-11-24 13:32:04,2012-11-25 03:25:53
PR,SMS broadcast receiver was not checking relevant permission,This should prevent other applications from sending spoofed SMS messages via a broadcast intent,,"charlesmunger,moxie0",2012-12-06 06:13:40,2012-12-06 23:03:07
PR,SMS broadcast receiver was not checking relevant permission now with spaces,This should prevent other applications from sending spoofed SMS messages via a broadcast intent,,"charlesmunger,moxie0",2012-12-06 23:03:30,2012-12-06 23:42:51
PR,Modern send icons in coversations,Make the send button appearance more similar to the default Android messenger and Google Talk applications that send arrow Made a similar icon to indicate secure messages ic send holo light ic send encrypted holo light Also made them fade out and disable when the EditText is empty,,"mcginty,moxie0,moxie0,moxie0,moxie0,moxie0,moxie0",2013-03-06 04:04:24,2013-03-10 23:06:15
PR,Partial Fix For APN Issues,Provides an in app source for APN info for use in the case that the device store is unavailable and the user has not provided local connection parameters Only covers T Moble USA AT T and Verizon right now Only T Mobile is tested Other carriers can be added and tested on an ongoing basis,,"morrica,moxie0,moxie0,moxie0,moxie0,moxie0,moxie0,moxie0,morrica,moxie0,morrica,thoughtbox,moxie0,moxie0",2013-03-12 19:26:49,2013-03-17 18:36:15
PR,Settings,Remove several settings from the menu reorganize others using subscreens tweak copy,,"liliakai,moxie0,liliakai,moxie0,liliakai,moxie0,moxie0",2013-03-31 00:01:54,2013-05-06 19:48:47
PR,Smaller PNG files,I used pngout and zopfli png to compress these files down as much as possible Decompressed these files should be bit for bit identical,,moxie0,2013-03-19 21:53:59,2013-05-19 00:02:14
PR,Some minor language,Minor edits,,thoughtbox,2013-05-27 19:28:17,2013-05-31 18:30:25
PR,Easier development setup,Getting TextSecure to build out of the box was not immediately obvious I added ActionBarSherlock as a submodule and tweaked the information from this post After that results in a working APK Is hardcoding the first configured target in the android system poor practice Should it be a param,,"richo,moxie0,richo,richo,moxie0",2013-06-17 10:27:56,2013-06-18 20:13:40
PR,Small clarification in the comments on types of SMS to ignore,Small clarification in the comments on types of SMS to ignore,,"joeykrim,joeykrim",2013-07-08 14:06:03,2013-07-08 14:16:52
PR,Updated typo added adjectives to InvalidMacException throw text and updated logcat tag,Changed Remot to Remote Changed MAC on message does not match calculated MAC to MAC on received message does not match calculated MAC of local message Changed logcat tag from mm to MessageMac easier to find now,,"joeykrim,joeykrim",2013-07-13 01:47:12,2013-07-13 03:03:15
PR,Changed new Thread to use new AsyncTask,Changed new Thread to use new AsyncTask same as was done in src org thoughtcrime securesms service KeyCachingService java,,joeykrim,2013-07-13 02:40:26,2013-07-13 17:55:10
PR,Moved Preferences Disabled passphrase title and summary text into strings xml,,,"joeykrim,moxie0",2013-07-13 03:19:00,2013-07-13 17:58:35
PR,Updated typo added adjectives to InvalidMacException throw text and upd,ated logcat tag Changed Remot to Remote Changed MAC on message does not match calculated MAC to MAC on received message does not match calculated MAC of local message Changed logcat tag from mm to MessageMac easier to find now,,"joeykrim,moxie0,moxie0,joeykrim,joeykrim,joeykrim",2013-07-13 03:05:18,2013-07-13 20:59:55
